Limit,Type,0,1,2,3,4,
10,bubble,0.00003,0.00003,0.00003,0.00003,0.00005,
,built-in,0.00001,0.00000,0.00000,0.00000,0.00000,
100,bubble,0.00207,0.00139,0.00175,0.00235,0.00175,
,built-in,0.00003,0.00002,0.00002,0.00002,0.00002,
1000,bubble,0.09130,0.08565,0.08520,0.08766,0.08489,
,built-in,0.00020,0.00019,0.00018,0.00018,0.00019,
10000,bubble,8.59021,8.57885,8.53096,8.58931,8.60423,
,built-in,0.00248,0.00226,0.00223,0.00244,0.00323,
100000,bubble,871.85181,874.53305,876.85242,911.10027,871.17878,
,built-in,0.03217,0.03367,0.03209,0.03227,0.03302,
